駅名,物件名,スポット名,緯度,経度,
福井,越前おろしそば屋,けやき庵,36.1326486,136.1604312,
福井,越前おろしそば屋,朝倉の里　利休庵,35.9922253,136.2880597,
福井,越前おろしそば屋,みやま長寿そば道場　ごっつおさん亭,36.0084043,136.3522548,
福井,越前おろしそば屋,ちょっといっぷく茶屋,35.9936456,136.4455459,
福井,越前おろしそば屋,そば処　まる八,36.0597013,136.22991,
福井,越前おろしそば屋,手打ちそば　やっこ,36.0606651,136.2311793,
福井,越前おろしそば屋,福井市観光物産館　福福館　福福茶屋,36.0614647,136.2217813,
福井,越前おろしそば屋,笏谷そば　西武福井店,36.0617645,136.2190662,
福井,越前おろしそば屋,越前そば　見吉屋本店,36.0637198,136.2171024,
福井,越前おろしそば屋,笏谷そば,36.0566706,136.2010905,
福井,越前おろしそば屋,手打めん　高山,36.0411114,136.1948357,
福井,越前おろしそば屋,美・味・麺・庵　たからや,36.0893221,136.2086399,
福井,越前おろしそば屋,手打蕎麦　とらい,36.0746044,136.1965548,
福井,越前おろしそば屋,あぜ川,36.0557621,136.3537757,
福井,越前おろしそば屋,永平寺門前手打ちそば処　てらぐち,36.0554621,136.354234,
福井,越前おろしそば屋,めん房　山楽亭,36.0556315,136.3515148,
福井,越前おろしそば屋,生そば　新保屋（芦原店）,36.2308998,136.1971333,
福井,越前おろしそば屋,そば処　日の出屋,36.2243172,136.1957864,
福井,越前おろしそば屋,麺処　平野屋,36.2247199,136.1942671,
福井,越前おろしそば屋,矢麻武希（やまぶき）,36.2217535,136.1919785,
福井,越前おろしそば屋,石勝食堂,36.210454,136.1522405,
福井,越前おろしそば屋,生そば　新保屋（三国店）,36.2095068,136.1532432,
福井,越前おろしそば屋,そば処　どうぐや,36.2065822,136.1574597,
福井,越前おろしそば屋,そば処　みの吉,36.21104,136.1418775,
福井,越前おろしそば屋,そば処　あおき,36.2285025,136.1755406,
福井,越前おろしそば屋,そば処　みの吉　きららの丘店,36.2417433,136.2052848,
福井,越前おろしそば屋,越前手打ちそば　また来,36.1816707,136.2421085,
福井,越前おろしそば屋,ふるさと渓流,36.1665474,136.332422,
福井,越前おろしそば屋,アイビー,36.15018,136.271114,
福井,越前おろしそば屋,そば処　一筆啓上,36.1527837,136.2735456,
福井,越前おろしそば屋,田舎づくり　膳,36.1419597,136.2654332,
福井,越前おろしそば屋,そば処　まどか,36.1256116,136.2608149,
福井,越前おろしそば屋,大野食堂,35.989385,136.4901274,
福井,越前おろしそば屋,めん工房　木瀬家,35.9906237,136.4917327,
福井,越前おろしそば屋,そば処　福そば本店,35.984908,136.490954,
福井,越前おろしそば屋,手打ちそば処　七間本陣,35.9854077,136.4881609,
福井,越前おろしそば屋,名水手打そば　お清水,35.982236,136.4861695,
福井,越前おろしそば屋,そばはうす　ゑびすや,35.9815031,136.4992457,
福井,越前おろしそば屋,そば処　梅林,35.985047,136.4988819,
福井,越前おろしそば屋,めん亭　いろは栄,35.9699022,136.5029564,
福井,越前おろしそば屋,めん処　欅,35.968112,136.503109,
福井,越前おろしそば屋,手打そば処　福そば陽明店,35.9967369,136.4993901,
福井,越前おろしそば屋,手打そば　どうせき,36.061656,136.4994564,
福井,越前おろしそば屋,手打そば　八助,36.0627225,136.4982287,
福井,越前おろしそば屋,やく志屋,36.0649029,136.5025032,
福井,越前おろしそば屋,越前そば処　勝食,36.0698965,136.4950121,
福井,越前おろしそば屋,めん工房　きふね,36.05194411,136.5132004,
福井,越前おろしそば屋,食庵　おり田,36.0440001,136.5120447,
福井,越前おろしそば屋,そば処　まつや,36.043482,136.536186,
福井,越前おろしそば屋,そば処　二男坊,35.9847905,136.1744127,
福井,越前おろしそば屋,おはぐろ　そば処　惣平,35.984357,136.171806,
福井,越前おろしそば屋,越前塩そば専門店　佐野蕎麦,35.9456187,136.1851078,
福井,越前おろしそば屋,そば道場　めん処　食房　藤栄,35.9374643,136.1804501,
福井,越前おろしそば屋,そば席　御清水庵,35.901346,136.170022,
福井,越前おろしそば屋,そば処　庄境屋,35.9018017,136.1648914,
福井,越前おろしそば屋,萩乃茶屋,35.9038009,136.1546424,
福井,越前おろしそば屋,八田居酒屋,35.9052008,136.1561533,
福井,越前おろしそば屋,そば蔵　谷川,35.9071562,136.159989,
福井,越前おろしそば屋,農家民宿　加藤さんち,35.9192455,136.2855452,
福井,越前おろしそば屋,リトリートたくら,35.7921739,136.2672023,
福井,越前おろしそば屋,そば処　おばちゃんの店,35.7813346,136.1979959,
福井,越前おろしそば屋,越前手打ちそば　新月亭,35.9733109,136.1304174,
福井,越前おろしそば屋,越前二八そば　いろは軒,35.9764105,136.1312645,
福井,越前おろしそば屋,悠久ロマンの社　朋楽館,35.9871844,136.0326666,
福井,越前おろしそば屋,蕎麦屋　竹もり,35.6366784,136.0549106,
福井,越前おろしそば屋,そば処　又八庵,35.61614,136.1453965,
福井,越前おろしそば屋,手打ちそば　雪花,35.6351615,136.0859571,
福井,越前おろしそば屋,手打ちそば　五郎兵衛,35.4822137,135.6695003,
福井,越前おろしそば屋,手打ちそば　雪花,35.635227,136.085996,
福井,越前おろしそば屋,そば処　庄境屋,35.901857,136.164947,
福井,水ようかん屋,有限会社えがわ,36.067861,136.207162,http://www.egawanomizuyoukan.com/
福井,水ようかん屋,お菓子処　丸岡家,36.051666,136.221228,
福井,水ようかん屋,久保田製菓 有限会社,36.060471,136.242359,http://www.kubota-mizuyoukan.com/
福井,水ようかん屋,藤雲堂,36.064538,136.211653,http://www.to-undo.com/
福井,水ようかん屋,餅の田中屋,36.0553632,136.230393,http://nttbj.itp.ne.jp/0776252468/index.html
福井,水ようかん屋,涛花堂,36.213126,136.154973,
福井,水ようかん屋,奥越菓庵　やまうち,35.980861,136.493085,
福井,水ようかん屋,シュトラウス金進堂,35.896822,136.171483,
福井,水ようかん屋,菓子処阿んま屋,35.961702,136.052701,http://www.anmaya.jp/
福井,水ようかん屋,伊勢屋,35.49977,135.746044,
福井,水ようかん屋,和菓子処 菊水堂,35.463327,135.855322,
福井,ソースカツ丼屋,レストラン ふくしん,36.0928473,136.2320487,
福井,ソースカツ丼屋,ヨーロッパ軒 幾久店,36.0800421,136.2220389,http://yo-roppaken.gourmet.coocan.jp/ikuhisa.htm
福井,ソースカツ丼屋,ヨーロッパ軒 総本店,36.0640733,136.2147813,http://yo-roppaken.gourmet.coocan.jp/
福井,ソースカツ丼屋,ヨーロッパ軒 大宮分店,36.081517,136.209367,http://yo-roppaken.gourmet.coocan.jp/sub3.htm
福井,ソースカツ丼屋,ヨーロッパ軒 花月分店,36.070069,136.210256,http://yo-roppaken.gourmet.coocan.jp/
福井,ソースカツ丼屋,ヨーロッパ軒 豊島分店,36.057557,136.222549,http://yo-roppaken.gourmet.coocan.jp/toyoshima.html
福井,ソースカツ丼屋,ヨーロッパ軒 大和田分店,36.0954071,136.2475819,http://yo-roppaken.gourmet.coocan.jp/oowada.htm
福井,ソースカツ丼屋,ヨーロッパ軒 木田分店,36.0461212,136.2198325,http://www1.fctv.ne.jp/~ohchan/
福井,ソースカツ丼屋,ヨーロッパ軒 みゆき分店,36.061585,136.236654,http://yo-roppaken.gourmet.coocan.jp/sub3.htm
福井,ソースカツ丼屋,ヨーロッパ軒 春江分店,36.1331369,136.220595,http://yo-roppaken.gourmet.coocan.jp/sub3.htm
福井,ソースカツ丼屋,ヨーロッパ軒 三郎丸分店,36.0796369,136.1944889,http://yo-roppaken.gourmet.coocan.jp/sub3.htm
福井,ソースカツ丼屋,ヨーロッパ軒 敦賀分店,35.6560809,136.0701631,http://yo-roppaken.gourmet.coocan.jp/sub3.htm
福井,ソースカツ丼屋,ヨーロッパ軒 敦賀駅前店,35.6480217,136.0742869,http://yo-roppaken.gourmet.coocan.jp/sub3.htm
福井,ソースカツ丼屋,ヨーロッパ軒 敦賀金山店,35.6264362,136.0342937,http://yo-roppaken.gourmet.coocan.jp/sub3.htm
福井,ソースカツ丼屋,ヨーロッパ軒 敦賀中央店,35.6455399,136.0545053,http://yo-roppaken.gourmet.coocan.jp/sub3.htm
福井,ソースカツ丼屋,ヨーロッパ軒 敦賀岡山店,35.6275381,136.0713369,http://yo-roppaken.gourmet.coocan.jp/sub3.htm
福井,ソースカツ丼屋,蕎麦 やすたけ,36.0755561,136.194992,http://soba-yasutake.com/
福井,ソースカツ丼屋,くら,36.0641153,136.2421289,http://tonkatsu-kura.com/
福井,ソースカツ丼屋,吉ちょう36.0629741,136.2197466,,
福井,ソースカツ丼屋,レストラン　サンサワ,36.0575881,136.2392527,
福井,ソースカツ丼屋,グリルやまだ,36.0699402,136.4958997,
福井,ソースカツ丼屋,越前そば処 勝食,36.0698983,136.4951264,https://www.katusyoku.jp/
福井,ソースカツ丼屋,おいしい、ちよ鶴,36.0594511,136.4991851,http://chiyozuru.wixsite.com/katsuyama
福井,ソースカツ丼屋,福彩り食堂　のむら屋,36.05742,136.503735,http://www.nomuraya-fukui.com/
福井,ミルキー女王水田,竹内農園,36.2121943,136.2039077,https://www.tabechoku.com/producers/20206
福井,越前ガニ屋,越前かに専門店 かに八,35.9694125,135.9677417,https://kanigyokai.com/
福井,越前ガニ屋,蟹かに亭 本店,35.9522244,135.9855959,https://kanikanitei.com/
福井,越前ガニ屋,旅籠おけや,35.9121737,135.9961774,http://e-okeya.com/
福井,越前ガニ屋,越前海鮮処 蟹かに亭 水仙ランド店,35.9822017,135.9609799,http://www.echizen-kanikanitei.jp/suisenland.html
福井,越前ガニ屋,かに乃花,35.9559884,135.9818081,https://www.echizenkamome.com/kaninohana/
福井,越前ガニ屋,越前海の幸 食処 えちぜん,35.9426109,135.9888315,https://kani-echizen.jp/
福井,越前ガニ屋,えちぜん丸太屋,35.957286,135.977556,http://xn--n8jvhwdsd3b4ksc4484av8gu5xqvgh3xo2av8a319k7rsdu1fewzb.com/
福井,越前ガニ屋,出みせ,35.9002532,135.9969968,https://echizen-demise.com/
福井,越前ガニ屋,越前御宿 小鉄,35.8756035,136.0082771,http://www.kotetu.jp/
福井,越前ガニ屋,お食事処 うおいち,35.9200363,135.9980523,https://kane1-suisan.com/oshokuji-uoichi
福井,越前ガニ屋,お食事処 かねいち,35.9195027,135.996951,https://kane1-suisan.com/oshokuji-kaneichi
福井,越前ガニ屋,地魚もてなし 滝の川,35.9049095,135.9980521,http://www.echizenkani.com/
福井,越前ガニ屋,あたらしや旅館,35.9878703,135.9627139,http://www.echizen-atarashiya.jp/
福井,越前ガニ屋,漁火の宿 しまや,35.9109469,135.9968482,http://www.e-shimaya.jp/
福井,越前ガニ屋,越前海岸玉川の宿 岩本屋,35.9687557,135.968697,https://www.fuku-e.com/spot/detail_4114.html
福井,越前ガニ屋,樽海,36.019718,135.998144,http://www.echizenkani.jp/
福井,越前ガニ屋,宮本鮮魚店,35.9562277,135.98321,http://www.miyamotosengyo.com/
福井,越前ガニ屋,魚屋の喰い処 まつ田,36.0324398,136.0103533,http://etizenkani.jp/
福井,越前ガニ屋,越前がにミュージアム,35.920017,135.998333,https://www.echizenkk.jp/kanimuseum
福井,恐竜博物館,福井県立恐竜博物館,36.0827204,136.5065353,https://www.dinosaur.pref.fukui.jp/
鯖江,蟹こぼれるぞ丼屋,ふるさとの宿こばせ,35.9541472,135.9818834,https://www.kobase.net/
鯖江,メガネ工場,鯖江 田中眼鏡 福井店,36.0620852,136.2184591,https://tanakagannkyou.com/
鯖江,メガネ工場,増永眼鏡店,36.0612447,136.2172419,https://e-meganeya.com/
鯖江,メガネ工場,田中眼鏡本舗浪漫堂,35.953285,136.1955799,http://www.t-honpo.com/
鯖江,メガネ工場,田中眼鏡本舗,36.0888329,136.2107195,http://www.t-honpo.com/
鯖江,メガネ工場,村井メガネ店,36.063047,136.2203474,https://muraimegane.business.site/
鯖江,メガネ工場,メガネショップzigen,35.9665216,136.1876154,
鯖江,メガネ工場,SABAE・OPT 鯖江店,35.9693068,136.1895131,http://sabaeoptshop.com/
鯖江,メガネ工場,SABAE・OPT 開発店,36.0790403,136.236683,http://sabaeoptshop.com/
鯖江,メガネ工場,SABAE・OPT ベル店,36.0336479,136.2120322,http://sabaeoptshop.com/
鯖江,メガネ工場,村井メガネ西武店,36.0618107,136.2190908,https://www.muraimegane.com/
鯖江,メガネ工場,プラスジャック,35.977665,136.19677,http://www.plusjack.com/
鯖江,メガネ工場,マリモ眼鏡店,36.0651433,136.2179527,https://www.291shops.com/useful/entry-512.html
鯖江,メガネ工場,ふくいめがねSpot by グラスジョイ AOSSA店,36.060598,136.22346,http://glass-joy.jp/
鯖江,メガネ工場,ふくいめがねSpot by グラスジョイ アル・プラザ アミ店,36.1348419,136.2190253,http://glass-joy.jp/
鯖江,メガネ工場,卸屋さんのめがね屋さん,36.0777823,136.2366481,https://www.facebook.com/jack.kouribu/
鯖江,メガネ工場,BOSTON CLUB SHOP SABAE,35.9707224,136.1805345,https://boston-club-shop-sabae.business.site/
鯖江,メガネ工場,田中眼鏡,35.9698864,136.1808954,http://tanakagannkyou.com/
東尋坊,サスペンス絵葉書屋,東尋坊　お土産屋店舗,36.2455237,136.1303274
東尋坊,甘エビ漁,真洋水産,36.2258716,136.1902532,https://www.shinyo-suisan.com/
東尋坊,甘エビ漁,東尋坊　お土産屋店舗,36.2455237,136.1303274,
東尋坊,甘エビ漁,えちぜん鉄道三国港駅周辺店舗,36.2202829,136.1401018,
東尋坊,越前ガニ漁,銀河食堂,36.224389,136.195981,
東尋坊,越前ガニ漁,真洋水産,36.2258716,136.1902532,https://www.shinyo-suisan.com/
東尋坊,越前ガニ漁,東尋坊　お土産屋店舗,36.2455237,136.1303274,
東尋坊,越前ガニ漁,えちぜん鉄道三国港駅周辺店舗,36.2202829,136.1401018,
東尋坊,湾内観光船,東尋坊観光遊覧船,36.2376389,136.1265769,http://www.toujinbou-yuransen.jp/
東尋坊,水族館,越前松島水族館,36.252703,136.147069,https://www.echizen-aquarium.com/
敦賀,とろろこんぶ工場,氣比神宮御用達 昆布の増井弘海堂,35.6543102,136.0720823,http://masui-koukaidou.jp/
敦賀,とろろこんぶ工場,昆布の奥井海生堂 神楽本店,35.6541871,136.0712438,http://www.konbu.co.jp/
敦賀,とろろこんぶ工場,北村商店,35.6565891,136.0671075,http://www.konbu-kitamura.com/
敦賀,とろろこんぶ工場,日本海物産,35.6517363,136.0381073,http://www.japansea.co.jp/
敦賀,とろろこんぶ工場,おみやげ処 敦賀かわと,35.6460903,136.0752386,https://www.kite-mite.net/
敦賀,とろろこんぶ工場,北前船のカワモト 敦賀本店,35.6302679,136.0739083,https://web.wakasakawamoto.co.jp/stores
敦賀,とろろこんぶ工場,北前船のカワモト 福井北店,36.0888772,136.2824001,https://web.wakasakawamoto.co.jp/stores
敦賀,とろろこんぶ工場,北前船のカワモト 日本海さかな街店,35.6346809,136.0499139,https://web.wakasakawamoto.co.jp/stores
敦賀,とろろこんぶ工場,木崎商店,35.6341949,136.0500189,https://www.sakanamachi.info/pages/108/
敦賀,とろろこんぶ工場,中西昆布,36.0900215,136.221748,https://n-konbu.com/
敦賀,越前ガニ屋,かに喰亭 ますよね,35.6346809,136.0499139,http://restaurant-masuyone.com/
敦賀,越前ガニ屋,魚平,35.6489028,136.0502678,https://uohei.com/
敦賀,越前ガニ屋,地魚料理 まるさん屋,35.646181,136.073668,https://zabassa.co.jp/marusanya
敦賀,越前ガニ屋,伝食（越前かに職人 甲羅組）,35.6454495,136.0506961,https://kouragumi.co.jp/
敦賀,越前ガニ屋,生け簀の甲羅,35.6620129,136.0745978,http://ikesunokoura.com/
敦賀,越前ガニ屋,（株）相木魚問屋,35.6577481,136.0670702,http://www.aiki-uodonya.com/
敦賀,越前ガニ屋,なかや,35.6511605,136.0734052,http://www.nakaya-web.com/
敦賀,若狭フグ屋,ふぐ料理　五作荘,35.4950167,135.5791287,http://fugu-gosaku.com/
敦賀,若狭フグ屋,料理旅館　由幸,35.5407954,135.4731465,https://wakasa-yoshikou.com/
小浜,小鯛のささ漬屋,若狭小浜 丸海 小浜本店,35.4972527,135.7454171,http://www.wakasa-marukai.co.jp/
小浜,小鯛のささ漬屋,ほり川田村長,35.4939241,135.7396341,https://www.tamuracho.co.jp/horikawa/
小浜,小鯛のささ漬屋,まるさん商店,35.646181,136.073668,https://zabassa.co.jp/yabeuodonya
小浜,小鯛のささ漬屋,小浜海産物 若狭小浜丸海 敦賀駅前店,35.6450505,136.0750285,https://obamakaisanbutsu.jp/shop/
小浜,小鯛のささ漬屋,小浜海産物 若狭小浜丸海 小浜本店,35.4972527,135.7454171,https://obamakaisanbutsu.jp/shop/
小浜,若狭カレイ屋,津田孫兵衛 うまし國小浜店,35.4968342,135.7402355,https://kagimago.co.jp/hpgen/HPB/entries/12.html
小浜,若狭カレイ屋,魚屋とび魚,35.5614653,135.8904393,http://tobiuo-net.com/
小浜,若狭カレイ屋,加福鮮魚,35.4951811,135.7424191,https://kabukusengyo.com/
小浜,若狭カレイ屋,若狭小浜お魚センター,35.5010855,135.7410312,https://osakanacenter.com/
小浜,若狭カレイ屋,若狭小浜 丸海 小浜本店,35.4972527,135.7454171,http://www.wakasa-marukai.co.jp/
小浜,若狭カレイ屋,ほり川田村長,35.4939241,135.7396341,https://www.tamuracho.co.jp/horikawa/
小浜,若狭カレイ屋,まるさん商店,35.646181,136.073668,https://zabassa.co.jp/yabeuodonya
小浜,若狭カレイ屋,小浜海産物 若狭小浜丸海 敦賀駅前店,35.6450505,136.0750285,https://obamakaisanbutsu.jp/shop/
小浜,若狭カレイ屋,小浜海産物 若狭小浜丸海 小浜本店,35.4972527,135.7454171,https://obamakaisanbutsu.jp/shop/
小浜,焼きサバ寿司屋,すし政本店,35.4958373,135.7453431,https://sushimasa-wakasaobama.jp/
小浜,焼きサバ寿司屋,若廣,35.500782,135.7397728,https://wakahiro.jp/
小浜,焼きサバ寿司屋,小浜海産物 若狭小浜丸海 敦賀駅前店,35.6450505,136.0750285,https://obamakaisanbutsu.jp/shop/
小浜,焼きサバ寿司屋,小浜海産物 若狭小浜丸海 小浜本店,35.4972527,135.7454171,https://obamakaisanbutsu.jp/shop/
小浜,焼きサバ寿司屋,若狭フィッシャーマンズ・ワーフ,35.5002425,135.7401139,https://www.wakasa-fishermans.com/
小浜,焼きサバ寿司屋,ほり川田村長,35.4939241,135.7396341,https://www.tamuracho.co.jp/horikawa/
小浜,焼きサバ寿司屋,とろさば料理専門店 SABAR 鯖街道 小浜田烏店,35.5378495,135.8353221,https://sabar-obamatagarasu.gorp.jp/
小浜,焼きサバ寿司屋,葛と鯖寿しの店 まる志ん,35.4435656,135.9013075,http://www.eonet.ne.jp/~marushin/index.html
